<DATE>;<BALANCE>
18/03/2020;5393.04
19/03/2020;6162.37
20/03/2020;6208.36
21/03/2020;6186.98
22/03/2020;5816.19
23/03/2020;6467.31
24/03/2020;6744.72
25/03/2020;6677.43
26/03/2020;6737.36
27/03/2020;6359.11
28/03/2020;6236.65
29/03/2020;5881.42
30/03/2020;6394.38
31/03/2020;6410.44
01/04/2020;6642.92
02/04/2020;6794.09
03/04/2020;6734.1
04/04/2020;6856.99
05/04/2020;6772.78
06/04/2020;7329.9
07/04/2020;7197.32
08/04/2020;7361.28
09/04/2020;7283.54
10/04/2020;6858.92
11/04/2020;6876.83
12/04/2020;6903.79
13/04/2020;6837.91
14/04/2020;6868.7
15/04/2020;6621.24
16/04/2020;7101.94
17/04/2020;7027.55
18/04/2020;7248.6
19/04/2020;7120.74
20/04/2020;6826.83
21/04/2020;6841.37
22/04/2020;7125.14
23/04/2020;7482.39
24/04/2020;7505.0
25/04/2020;7538.67
26/04/2020;7693.1
27/04/2020;7774.62
28/04/2020;7738.98
29/04/2020;8778.57
30/04/2020;8620.0
01/05/2020;8826.96
02/05/2020;8972.05
03/05/2020;8894.16
04/05/2020;8871.96
05/05/2020;9021.83
06/05/2020;9142.92
07/05/2020;9986.4
08/05/2020;9800.01
09/05/2020;9539.4
10/05/2020;8722.77
11/05/2020;8561.52
12/05/2020;8810.79
13/05/2020;9309.37
14/05/2020;9791.98
15/05/2020;9316.42
16/05/2020;9381.27
17/05/2020;9680.04
18/05/2020;9733.93
19/05/2020;9775.53
20/05/2020;9511.43
21/05/2020;9068.65
22/05/2020;9170.0
23/05/2020;9179.15
24/05/2020;8720.34
25/05/2020;8900.35
26/05/2020;8841.18
27/05/2020;9204.07
28/05/2020;9575.89
29/05/2020;9427.07
30/05/2020;9697.72
31/05/2020;9448.27
01/06/2020;10200.77
02/06/2020;9518.04
03/06/2020;9666.24
04/06/2020;9789.06
05/06/2020;9621.16
06/06/2020;9666.3
07/06/2020;9746.99
08/06/2020;9782.01
09/06/2020;9772.43
10/06/2020;9885.0
11/06/2020;9280.4
12/06/2020;9465.13
13/06/2020;9473.34
14/06/2020;9342.1
15/06/2020;9426.02
16/06/2020;9525.59
17/06/2020;9465.14
18/06/2020;9386.32
19/06/2020;9310.23
20/06/2020;9358.95
21/06/2020;9294.69
22/06/2020;9685.69
23/06/2020;9624.89
24/06/2020;9296.49
25/06/2020;9249.49
26/06/2020;9162.21
27/06/2020;9012.0
28/06/2020;9116.35
29/06/2020;9192.56
30/06/2020;9138.55
01/07/2020;9232.0
02/07/2020;9086.54
03/07/2020;9058.26
04/07/2020;9135.46
05/07/2020;9069.41
06/07/2020;9344.2
07/07/2020;9257.39
08/07/2020;9436.06
09/07/2020;9232.43
10/07/2020;9288.34
11/07/2020;9234.03
12/07/2020;9302.75
13/07/2020;9242.62
14/07/2020;9255.85
15/07/2020;9197.6
16/07/2020;9133.72
17/07/2020;9154.32
18/07/2020;9170.28
19/07/2020;9208.99
20/07/2020;9160.78
21/07/2020;9390.0
22/07/2020;9518.16
23/07/2020;9603.27
24/07/2020;9537.8
25/07/2020;9700.42
26/07/2020;9931.54
27/07/2020;11029.96
28/07/2020;10906.27
29/07/2020;11100.53
30/07/2020;11099.61
31/07/2020;11335.46
01/08/2020;11801.17
02/08/2020;11071.35
03/08/2020;11219.81
04/08/2020;11191.97
05/08/2020;11744.91
06/08/2020;11762.46
07/08/2020;11594.23
08/08/2020;11761.41
09/08/2020;11681.68
10/08/2020;11892.92
11/08/2020;11392.08
12/08/2020;11564.33
13/08/2020;11780.0
14/08/2020;11760.54
15/08/2020;11852.4
16/08/2020;11911.0
17/08/2020;12281.13
18/08/2020;11945.01
19/08/2020;11754.59
20/08/2020;11853.55
21/08/2020;11531.34
22/08/2020;11662.96
23/08/2020;11648.13
24/08/2020;11748.2
25/08/2020;11318.42
26/08/2020;11461.43
27/08/2020;11330.38
28/08/2020;11526.91
29/08/2020;11465.84
30/08/2020;11711.16
31/08/2020;11649.51
01/09/2020;11921.97
02/09/2020;11388.54
03/09/2020;10140.85
04/09/2020;10446.25
05/09/2020;10166.69
06/09/2020;10256.2
07/09/2020;10373.44
08/09/2020;10126.65
09/09/2020;10219.2
10/09/2020;10336.87
11/09/2020;10387.89
12/09/2020;10440.92
13/09/2020;10332.83
14/09/2020;10671.77
15/09/2020;10785.31
16/09/2020;10954.01
17/09/2020;10939.99
18/09/2020;10933.39
19/09/2020;11080.65
20/09/2020;10920.28
21/09/2020;10417.22
22/09/2020;10529.61
23/09/2020;10241.46
24/09/2020;10736.32
25/09/2020;10686.67
26/09/2020;10728.6
27/09/2020;10774.25
28/09/2020;10696.12
29/09/2020;10840.48
30/09/2020;10776.59
01/10/2020;10619.13
02/10/2020;10570.4
03/10/2020;10542.06
04/10/2020;10666.63
05/10/2020;10792.21
06/10/2020;10599.66
07/10/2020;10666.39
08/10/2020;10925.57
